id	name	tags
332	Aloy's Body Alpha	
337	Blossom Vest Alpha	
437	Jyura Mail Alpha	jyuratodus
438	Jyura Mail Beta	jyuratodus
427	Kadachi Mail Alpha	tobi;kadachi
428	Kadachi Mail Beta	tobi;kadachi
417	Lumu Mail Alpha	paolumu
418	Lumu Mail Beta	paolumu
407	Rathian Mail Alpha	
408	Rathian Mail Beta	
387	Baan Mail Alpha	radobaan
388	Baan Mail Beta	radobaan
372	Brigade Suit Alpha	
348	Brigade Suit Beta	
76	Diablos Mail Alpha	
75	Diablos Mail Beta	
88	High Metal Mail Alpha	
87	High Metal Mail Beta	
86	Ingot Mail Alpha	
85	Ingot Mail Beta	
84	Lavasioth Mail Alpha	
83	Lavasioth Mail Beta	
82	Legiana Mail Alpha	
81	Legiana Mail Beta	
80	Odogaron Mail Alpha	
79	Odogaron Mail Beta	
78	Rathalos Mail Alpha	
77	Rathalos Mail Beta
397	Rath Heart Mail Alpha	pink;rathian
398	Rath Heart Mail Beta	pink;rathian
377	Zorah Hide Alpha	magdaros
378	Zorah Hide Beta	magdaros
68	Bazel Mail Alpha	bazelgeuse;dodogama
67	Bazel Mail Beta	bazelgeuse;dodogama
66	Damascus Mail Alpha	
65	Damascus Mail Beta	
62	Death Stench Muscle Alpha	
61	Death Stench Muscle Beta	
72	Diablos Nero Mail Alpha	black;diablos
71	Diablos Nero Mail Beta	black;diablos
64	Dober Mail Alpha	
63	Dober Mail Beta	
74	Rath Soul Mail Alpha	azure;rathalos
73	Rath Soul Mail Beta	azure;rathalos
70	Uragaan Mail Alpha	
69	Uragaan Mail Beta	
368	Azure Starlord Armor Alpha	
90	Commission Jacket Alpha	
89	Commission Jacket Beta	
363	Dante's Coat Alpha	
92	Guild Cross Suit Alpha	
91	Guild Cross Suit Beta	
58	Kaiser Mail Alpha	teostra
57	Kaiser Mail Beta	teostra
52	Kirin Jacket Alpha	
51	Kirin Jacket Beta	
354	Kulve Taroth's Ire Alpha	
355	Kulve Taroth's Ire Beta	
56	Kushala Cista Alpha	kushala;daora
55	Kushala Cista Beta	kushala;daora
60	Nergigante Mail Alpha	
59	Nergigante Mail Beta	
54	Vaal Hazak Mail Alpha	
53	Vaal Hazak Mail Beta	
323	Vangis Mail Alpha	deviljho
324	Vangis Mail Beta	deviljho
50	Xeno'jiva Hide Alpha	xenojiva
49	Xeno'jiva Hide Beta	xenojiva
447	Empress Mail Alpha	lunastra
448	Empress Mail Beta	lunastra
335	Aloy's Leggings Alpha	
340	Blossom Boots Alpha	
439	Jyura Greaves Alpha	jyuratodus
440	Jyura Greaves Beta	jyuratodus
429	Kadachi Greaves Alpha	tobi;kadachi
430	Kadachi Greaves Beta	tobi;kadachi
419	Lumu Greaves Alpha	paolumu
420	Lumu Greaves Beta	paolumu
409	Rathian Greaves Alpha	
410	Rathian Greaves Beta	
389	Baan Greaves Alpha 	radobaan
390	Baan Greaves Beta 	radobaan
373	Brigade Boots Alpha	
351	Brigade Boots Beta	
